chain,contract_reuse_count,runtime_group_count,contracts_in_group,cumulative_contracts,total_contracts,cumulative_contract_fraction,cumulative_runtime_groups,total_runtime_groups,cumulative_runtime_fraction
ethereum,106,25,2650,851237,72881396,0.011679757067221928,358232,362813,0.9873736608114925
ethereum,107,35,3745,854982,72881396,0.011731141922693138,358267,362813,0.987470129240132
ethereum,108,28,3024,858006,72881396,0.011772633992905405,358295,362813,0.9875473039830436
ethereum,109,15,1635,859641,72881396,0.011795067701502316,358310,362813,0.9875886475953177
ethereum,110,29,3190,862831,72881396,0.011838837444880996,358339,362813,0.9876685785790477
ethereum,111,24,2664,865495,72881396,0.011875389982925135,358363,362813,0.9877347283586861
ethereum,112,21,2352,867847,72881396,0.011907661593090231,358384,362813,0.9877926094158699
ethereum,113,29,3277,871124,72881396,0.011952625056742876,358413,362813,0.9878725403995998
ethereum,114,22,2508,873632,72881396,0.011987037130847493,358435,362813,0.9879331776976018
ethereum,115,27,3105,876737,72881396,0.01202964059579759,358462,362813,0.9880075961996951
ethereum,116,20,2320,879057,72881396,0.012061473136436629,358482,362813,0.9880627210160606
ethereum,117,19,2223,881280,72881396,0.012091974747574813,358501,362813,0.9881150895916078
ethereum,118,21,2478,883758,72881396,0.012125975193998753,358522,362813,0.9881729706487915
ethereum,119,14,1666,885424,72881396,0.012148834251199031,358536,362813,0.9882115580202473
ethereum,120,28,3360,888784,72881396,0.012194936551434882,358564,362813,0.988288732763159
ethereum,121,18,2178,890962,72881396,0.01222482072105205,358582,362813,0.9883383450978879
ethereum,122,20,2440,893402,72881396,0.0122582997724138,358602,362813,0.9883934699142534
ethereum,123,13,1599,895001,72881396,0.012280239527793897,358615,362813,0.9884293010448909
ethereum,124,16,1984,896985,72881396,0.012307461838409353,358631,362813,0.9884734008979833
ethereum,125,20,2500,899485,72881396,0.012341764145132456,358651,362813,0.9885285257143487
ethereum,126,11,1386,900871,72881396,0.012360781343979745,358662,362813,0.9885588443633497
ethereum,127,17,2159,903030,72881396,0.012390404816065818,358679,362813,0.9886057004572604
