chain,block_date,create_trace_count
ethereum,2016-10-30,22
ethereum,2016-10-31,27
ethereum,2016-11-01,29
ethereum,2016-11-02,14
ethereum,2016-11-03,9
ethereum,2016-11-04,10
ethereum,2016-11-05,20
ethereum,2016-11-06,21
ethereum,2016-11-07,14
ethereum,2016-11-08,25
ethereum,2016-11-09,37
ethereum,2016-11-10,15
ethereum,2016-11-11,65
ethereum,2016-11-12,19
ethereum,2016-11-13,67
ethereum,2016-11-14,43
ethereum,2016-11-15,31
ethereum,2016-11-16,27
ethereum,2016-11-17,18
ethereum,2016-11-18,32
ethereum,2016-11-19,18
ethereum,2016-11-20,21
ethereum,2016-11-21,25
ethereum,2016-11-22,20
ethereum,2016-11-23,16
ethereum,2016-11-24,397
ethereum,2016-11-25,5907
ethereum,2016-11-26,1496
ethereum,2016-11-27,1023
ethereum,2016-11-28,14
ethereum,2016-11-29,58
ethereum,2016-11-30,25
ethereum,2016-12-01,35
ethereum,2016-12-02,601
ethereum,2016-12-03,2284
ethereum,2016-12-04,2494
ethereum,2016-12-05,2953
ethereum,2016-12-06,267
ethereum,2016-12-07,19
ethereum,2016-12-08,20
ethereum,2016-12-09,16
ethereum,2016-12-10,1233
ethereum,2016-12-11,26
ethereum,2016-12-12,22
ethereum,2016-12-13,26
ethereum,2016-12-14,30
ethereum,2016-12-15,12
ethereum,2016-12-16,62
ethereum,2016-12-17,14
ethereum,2016-12-18,7
ethereum,2016-12-19,42
ethereum,2016-12-20,104
ethereum,2016-12-21,42
ethereum,2016-12-22,25
ethereum,2016-12-23,9
ethereum,2016-12-24,16
ethereum,2016-12-25,9
ethereum,2016-12-26,19
ethereum,2016-12-27,26
ethereum,2016-12-28,14
ethereum,2016-12-29,37
ethereum,2016-12-30,51
ethereum,2016-12-31,101
ethereum,2017-01-01,42
ethereum,2017-01-02,27
ethereum,2017-01-03,49
ethereum,2017-01-04,135
ethereum,2017-01-05,46
ethereum,2017-01-06,51
ethereum,2017-01-07,18
ethereum,2017-01-08,30
ethereum,2017-01-09,130
ethereum,2017-01-10,77
ethereum,2017-01-11,62
ethereum,2017-01-12,61
ethereum,2017-01-13,64
ethereum,2017-01-14,17
ethereum,2017-01-15,13
ethereum,2017-01-16,12
ethereum,2017-01-17,112
ethereum,2017-01-18,34
