chain,block_date,active_factory_count
ethereum,2017-06-10,14
ethereum,2017-06-11,12
ethereum,2017-06-12,11
ethereum,2017-06-13,12
ethereum,2017-06-14,20
ethereum,2017-06-15,28
ethereum,2017-06-16,14
ethereum,2017-06-17,20
ethereum,2017-06-18,11
ethereum,2017-06-19,13
ethereum,2017-06-20,16
ethereum,2017-06-21,10
ethereum,2017-06-22,23
ethereum,2017-06-23,19
ethereum,2017-06-24,15
ethereum,2017-06-25,18
ethereum,2017-06-26,21
ethereum,2017-06-27,17
ethereum,2017-06-28,16
ethereum,2017-06-29,18
ethereum,2017-06-30,21
ethereum,2017-07-01,16
ethereum,2017-07-02,12
ethereum,2017-07-03,19
ethereum,2017-07-04,13
ethereum,2017-07-05,7
ethereum,2017-07-06,12
ethereum,2017-07-07,15
ethereum,2017-07-08,19
ethereum,2017-07-09,12
ethereum,2017-07-10,26
ethereum,2017-07-11,16
ethereum,2017-07-12,27
ethereum,2017-07-13,14
ethereum,2017-07-14,20
ethereum,2017-07-15,14
ethereum,2017-07-16,21
ethereum,2017-07-17,29
ethereum,2017-07-18,24
ethereum,2017-07-19,22
ethereum,2017-07-20,25
ethereum,2017-07-21,26
ethereum,2017-07-22,14
ethereum,2017-07-23,13
ethereum,2017-07-24,26
ethereum,2017-07-25,23
ethereum,2017-07-26,17
ethereum,2017-07-27,28
ethereum,2017-07-28,20
ethereum,2017-07-29,8
ethereum,2017-07-30,13
ethereum,2017-07-31,16
ethereum,2017-08-01,25
ethereum,2017-08-02,20
ethereum,2017-08-03,26
ethereum,2017-08-04,28
ethereum,2017-08-05,25
ethereum,2017-08-06,24
ethereum,2017-08-07,21
ethereum,2017-08-08,31
ethereum,2017-08-09,30
ethereum,2017-08-10,26
ethereum,2017-08-11,22
ethereum,2017-08-12,23
ethereum,2017-08-13,21
ethereum,2017-08-14,19
ethereum,2017-08-15,28
ethereum,2017-08-16,27
ethereum,2017-08-17,26
ethereum,2017-08-18,19
ethereum,2017-08-19,26
ethereum,2017-08-20,25
ethereum,2017-08-21,37
ethereum,2017-08-22,39
ethereum,2017-08-23,42
ethereum,2017-08-24,44
ethereum,2017-08-25,66
ethereum,2017-08-26,36
ethereum,2017-08-27,33
ethereum,2017-08-28,64
ethereum,2017-08-29,33
ethereum,2017-08-30,51
ethereum,2017-08-31,60
ethereum,2017-09-01,49
ethereum,2017-09-02,41
ethereum,2017-09-03,44
ethereum,2017-09-04,35
ethereum,2017-09-05,46
ethereum,2017-09-06,30
ethereum,2017-09-07,43
ethereum,2017-09-08,35
ethereum,2017-09-09,36
ethereum,2017-09-10,30
ethereum,2017-09-11,35
ethereum,2017-09-12,41
ethereum,2017-09-13,39
ethereum,2017-09-14,51
ethereum,2017-09-15,39
ethereum,2017-09-16,33
ethereum,2017-09-17,38
ethereum,2017-09-18,38
ethereum,2017-09-19,37
ethereum,2017-09-20,43
ethereum,2017-09-21,58
ethereum,2017-09-22,32
ethereum,2017-09-23,29
ethereum,2017-09-24,25
ethereum,2017-09-25,37
ethereum,2017-09-26,39
ethereum,2017-09-27,34
ethereum,2017-09-28,39
ethereum,2017-09-29,50
ethereum,2017-09-30,33
ethereum,2017-10-01,25
ethereum,2017-10-02,41
ethereum,2017-10-03,37
ethereum,2017-10-04,40
ethereum,2017-10-05,44
ethereum,2017-10-06,29
ethereum,2017-10-07,35
ethereum,2017-10-08,49
ethereum,2017-10-09,57
ethereum,2017-10-10,43
